M, T1(ms), T2(ms), T4(ms), T6(ms), S2, S4, S6
1000, 0.046875, 0.039062, 0.053955, 0.102051, 1.200015, 0.868780, 0.459329
5000, 0.121826, 0.056152, 0.039062, 0.161133, 2.169575, 3.118786, 0.756059
10000, 0.210205, 0.210938, 0.075195, 0.191162, 0.996525, 2.795465, 1.099617
50000, 1.849121, 1.093018, 0.577148, 0.649902, 1.691757, 3.203894, 2.845231
100000, 3.440918, 1.912842, 0.944092, 1.637939, 1.798851, 3.644685, 2.100761
500000, 27.499023, 13.997070, 6.864014, 11.185059, 1.964627, 4.006260, 2.458550
1000000, 67.375000, 32.621826, 16.072021, 22.360107, 2.065335, 4.192068, 3.013179
10000000, 1266.574951, 698.217041, 393.345947, 438.061035, 1.814013, 3.220003, 2.891321
100000000, 28539.197021, 15645.319092, 9281.947021, 10049.592041, 1.824136, 3.074699, 2.839836
